year,release,link,filteredParagraphs,netToneScore0,netToneScore1,netToneScore2,netToneScore3,netToneScore4,netToneScore5,netToneScore6,netToneScore7,uncertScore0,uncertScore1,uncertScore2,uncertScore3,uncertScore4,uncertScore5,uncertScore6,uncertScore7
1994,1994-11-18,https://www.federalreserve.gov/fomc/MINUTES/1994/19940927min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1994-12-22,https://www.federalreserve.gov/fomc/MINUTES/1994/19941115min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1995-02-03,https://www.federalreserve.gov/fomc/MINUTES/1994/19941220min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1993-03-26,https://www.federalreserve.gov/fomc/MINUTES/1993/19930203min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1993-05-21,https://www.federalreserve.gov/fomc/MINUTES/1993/19930323min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1993-07-09,https://www.federalreserve.gov/fomc/MINUTES/1993/19930518min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1993-08-20,https://www.federalreserve.gov/fomc/MINUTES/1993/19930707min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1993-09-24,https://www.federalreserve.gov/fomc/MINUTES/1993/19930817min.htm,"[['financial', 'outlook', 'implementation', 'monetary', 'policy', 'intermeete', 'period', 'summary', 'economic', 'financial', 'information', 'available', 'time', 'meeting', 'discussion', 'provide', 'follow', 'domestic', 'policy', 'directive', 'approve', 'issue', 'monetary_policy', 'intermeete_period'], ['sustainable', 'pace', 'consistent', 'progress', 'time', 'stable', 'price', 'appear', 'likely', 'time', 'meeting', 'need', 'bias', 'consideration', 'response', 'incoming', 'information', 'intermeete', 'period', 'possible', 'tightening', 'order', 'achieve', 'objective', 'member', 'agree', 'tighten', 'incoming_information', 'intermeete_period', 'member_agree']]",0.0173219362894694,0.025511223077774047,0,0,0,0.023012653986612955,0,0.0,0.0173219362894694,0.025511223077774047,0,0,0,0.023012653986612955,0,0.0
1993,1993-11-19,https://www.federalreserve.gov/fomc/MINUTES/1993/19930921min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1993-12-23,https://www.federalreserve.gov/fomc/MINUTES/1993/19931116min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1994-02-04,https://www.federalreserve.gov/fomc/MINUTES/1993/19931221min.htm,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
