year,release,link,filteredParagraphs,rawParagraphs
2013,2013-11-20,https://www.federalreserve.gov/monetarypolicy/fomcminutes20131030.htm,[],[]
2013,2014-01-08,https://www.federalreserve.gov/monetarypolicy/fomcminutes20131218.htm,[],[]
2012,2012-02-15,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120125.htm,[],[]
2012,2012-04-03,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120313.htm,[],[]
2012,2012-05-16,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120425.htm,[],[]
2012,2012-07-11,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120620.htm,[],[]
2012,2012-08-22,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120801.htm,[],[]
2012,2012-10-04,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120913.htm,[],[]
2012,2012-11-14,https://www.federalreserve.gov/monetarypolicy/fomcminutes20121024.htm,[],[]
2012,2013-01-03,https://www.federalreserve.gov/monetarypolicy/fomcminutes20121212.htm,[],[]
2011,2011-02-16,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110126.htm,[],[]
2011,2011-04-05,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110315.htm,[],[]
2011,2011-05-18,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110427.htm,[],[]
2011,2011-07-12,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110622.htm,[],[]
2011,2011-08-30,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110809.htm,[],[]
2011,2011-10-12,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110921.htm,[],[]
2011,2011-11-22,https://www.federalreserve.gov/monetarypolicy/fomcminutes20111102.htm,[],[]
2011,2012-01-03,https://www.federalreserve.gov/monetarypolicy/fomcminutes20111213.htm,[],[]
2010,2010-02-17,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100127.htm,[],[]
2010,2010-04-06,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100316.htm,[],[]
2010,2010-05-19,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100428.htm,[],[]
2010,2010-07-14,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100623.htm,[],[]
2010,2010-08-31,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100810.htm,[],[]
2010,2010-10-12,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100921.htm,[],[]
2010,2010-11-23,https://www.federalreserve.gov/monetarypolicy/fomcminutes20101103.htm,[],[]
2010,2011-01-04,https://www.federalreserve.gov/monetarypolicy/fomcminutes20101214.htm,[],[]
2009,2009-02-18,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090128.htm,[],[]
2009,2009-04-08,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090318.htm,[],[]
