DATE,BOPGSTB
2015-04-01,-39844.0
2015-05-01,-38562.0
2015-06-01,-42500.0
2015-07-01,-40379.0
2015-08-01,-44251.0
2015-09-01,-41691.0
2015-10-01,-40934.0
2015-11-01,-40555.0
2015-12-01,-41099.0
2016-01-01,-40026.0
2016-02-01,-43215.0
2016-03-01,-36551.0
2016-04-01,-37566.0
2016-05-01,-39342.0
2016-06-01,-41658.0
2016-07-01,-40537.0
2016-08-01,-40563.0
2016-09-01,-36545.0
2016-10-01,-39232.0
2016-11-01,-44465.0
2016-12-01,-41469.0
2017-01-01,-42918.0
2017-02-01,-39520.0
2017-03-01,-40889.0
2017-04-01,-43807.0
2017-05-01,-43588.0
2017-06-01,-42223.0
2017-07-01,-42853.0
2017-08-01,-41517.0
2017-09-01,-41165.0
2017-10-01,-42644.0
2017-11-01,-45558.0
2017-12-01,-47109.0
2018-01-01,-47247.0
2018-02-01,-48714.0
2018-03-01,-42893.0
2018-04-01,-44666.0
2018-05-01,-41160.0
2018-06-01,-44404.0
2018-07-01,-50572.0
2018-08-01,-50381.0
2018-09-01,-51453.0
2018-10-01,-52398.0
2018-11-01,-49634.0
2018-12-01,-56413.0
2019-01-01,-49023.0
2019-02-01,-47300.0
2019-03-01,-48914.0
2019-04-01,-49203.0
2019-05-01,-51258.0
2019-06-01,-51749.0
2019-07-01,-51041.0
2019-08-01,-50778.0
2019-09-01,-47839.0
2019-10-01,-43029.0
2019-11-01,-41054.0
2019-12-01,-45676.0
2020-01-01,-44379.0
2020-02-01,-38008.0
2020-03-01,-47243.0
2020-04-01,-52611.0
2020-05-01,-56310.0
2020-06-01,-51766.0
2020-07-01,-62110.0
2020-08-01,-66064.0
2020-09-01,-63224.0
2020-10-01,-63978.0
2020-11-01,-69038.0
2020-12-01,-66969.0
2021-01-01,-67823.0
2021-02-01,-70518.0
2021-03-01,-74448.0
